 0 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- 28 -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
Scan finished
Configure finished
BNO055 initialisation finished
X:-45 Y:-59 Z:943
X:-57 Y:-57 Z:945
X:-34 Y:-51 Z:938
X:-54 Y:-59 Z:945
X:-48 Y:-58 Z:945
X:-48 Y:-50 Z:952
X:-44 Y:-58 Z:947
X:-48 Y:-60 Z:939
X:-48 Y:-60 Z:951
X:-45 Y:-51 Z:952
X:-46 Y:-57 Z:953
X:-33 Y:-52 Z:935
X:-34 Y:-52 Z:939
X:-40 Y:-54 Z:955
X:-49 Y:-57 Z:937
X:-41 Y:-48 Z:954
X:-38 Y:-57 Z:944
X:-49 Y:-55 Z:944
X:-38 Y:-49 Z:940
X:-34 Y:-54 Z:942
X:-45 Y:-54 Z:939
X:-40 Y:-61 Z:947
X:-43 Y:-57 Z:948
X:-36 Y:-52 Z:952
X:-45 Y:-57 Z:942
X:-50 Y:-57 Z:947
X:-46 Y:-45 Z:935
X:-54 Y:-57 Z:953
X:-42 Y:-59 Z:936
X:-40 Y:-57 Z:949
X:-47 Y:-55 Z:946
X:-43 Y:-55 Z:948
X:-42 Y:-56 Z:949
X:-44 Y:-57 Z:956
X:-40 Y:-56 Z:958
X:-39 Y:-48 Z:949
X:-45 Y:-50 Z:943
X:-39 Y:-59 Z:942
X:-47 Y:-54 Z:937
X:-39 Y:-50 Z:946
X:-38 Y:-57 Z:941
X:-46 Y:-55 Z:940
X:-50 Y:-56 Z:948
X:-46 Y:-53 Z:943
X:-46 Y:-57 Z:945
X:-46 Y:-53 Z:949
X:-44 Y:-57 Z:952
X:-44 Y:-54 Z:940
X:-47 Y:-48 Z:939
X:-44 Y:-52 Z:940
X:-48 Y:-55 Z:952
X:-50 Y:-57 Z:951
X:-52 Y:-57 Z:951
X:-45 Y:-56 Z:953
X:-43 Y:-61 Z:945
X:-41 Y:-58 Z:940
X:-45 Y:-59 Z:947
X:-44 Y:-56 Z:945
X:-45 Y:-57 Z:944
X:-44 Y:-55 Z:952
X:-48 Y:-53 Z:946
X:-44 Y:-61 Z:938
X:-42 Y:-51 Z:941
X:-41 Y:-58 Z:934
X:-39 Y:-58 Z:943
X:-44 Y:-57 Z:947
X:-36 Y:-49 Z:946
X:-50 Y:-53 Z:940
X:-39 Y:-59 Z:943
X:-44 Y:-58 Z:934
X:-46 Y:-56 Z:937
X:-37 Y:-47 Z:950
X:-35 Y:-54 Z:942
X:-47 Y:-58 Z:944
